var1,var2,statistic,value,p_value,n
binned_shuttlebox_slope,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,-0.084687067,0.644919245,32
binned_shuttlebox_slope,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.181398731,0.320420169,32
binned_shuttlebox_slope,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.202700136,0.265869991,32
binned_shuttlebox_slope,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.645134217,6.71E-05,32
binned_shuttlebox_slope,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,-0.088330993,0.630703399,32
binned_shuttlebox_slope,did_fish_solve_shuttlebox,ICC,-0.119617215,0.58,32
binned_shuttlebox_slope,binned_did_fish_solve_shuttlebox,r,0.09129355,0.619240281,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,-0.323975538,0.07046526,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,-0.362168235,0.04165403,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_slope,r,0.74129137,1.21E-06,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_wilcox_test,r,0.044012605,0.810963676,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_slope,r,0.764505357,3.52E-07,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_wilcox_test,r,0.044012605,0.810963676,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.325321941,0.069238144,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,0.291338419,0.105704611,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.655931437,4.59E-05,32
binned_shuttlebox_slope,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.202727315,0.265804528,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.25473901,0.15941978,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.31996381,0.074222082,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.659479279,4.04E-05,32
binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.190429841,0.296500866,32
binned_shuttlebox_slope,standard_length,r,-0.078678924,0.727813424,22
binned_shuttlebox_slope,order,ICC,0.463473513,0.01,22
binned_shuttlebox_slope,average_number_of_entries,r,0.228539783,0.306310217,22
binned_shuttlebox_slope,average_reaction_time,r,-0.108310041,0.631383385,22
binned_shuttlebox_slope,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,0.039589242,0.86471295,21
binned_shuttlebox_slope,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,0.323649653,0.152375845,21
binned_shuttlebox_slope,total_number_of_testing_trials_using_full_4_minutes_data,r,0.006885768,0.97573841,22
binned_shuttlebox_slope,total_number_of_testing_trials_using_T30_to_T50_data,r,-0.129036091,0.56711495,22
binned_shuttlebox_slope,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,-0.205589963,0.358685436,22
binned_shuttlebox_slope,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,-0.036513806,0.871840518,22
binned_shuttlebox_slope,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,0.081329277,0.718998226,22
binned_shuttlebox_slope,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,-0.226476795,0.3108162,22
binned_shuttlebox_slope,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,-0.135267409,0.548376432,22
binned_shuttlebox_slope,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,-0.110376181,0.624849459,22
binned_shuttlebox_slope,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.221345702,0.334917996,21
binned_shuttlebox_slope,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,0.178972768,0.437610525,21
binned_shuttlebox_slope,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,-0.160975237,0.497776907,20
binned_shuttlebox_slope,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,0.390424229,0.08877096,20
binned_shuttlebox_slope,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.229728453,0.316456477,21
binned_shuttlebox_slope,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.29916389,0.200073242,20
binned_shuttlebox_slope,number_of_medians_above_60_using_full_4_minutes_data,ICC,0.436838096,0.04,22
binned_shuttlebox_slope,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.281963245,0.05,22
binned_shuttlebox_slope,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,-0.205207275,0.372207671,21
binned_shuttlebox_slope,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,-0.404433463,0.068994457,21
binned_shuttlebox_slope,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,-0.289578337,0.215570526,20
binned_shuttlebox_slope,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.078484851,0.742229469,20
binned_shuttlebox_slope,learning_category_according_to_etheredge_T30_to_T50,ICC,0.082676945,0.59,21
binned_shuttlebox_slope,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.001702715,0.99,22
binned_shuttlebox_slope,average_latency_to_enter_correct_side,r,0.06651495,0.774523948,21
binned_shuttlebox_slope,average_latency_to_enter_incorrect_side,r,0.059720482,0.797066931,21
binned_shuttlebox_slope,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,0.071111184,0.759371614,21
binned_shuttlebox_slope,proportion_of_correct_first_choices,r,0.091950078,0.691804007,21
binned_shuttlebox_slope,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.171837004,0.444477291,22
binned_shuttlebox_slope,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.368345841,0.091651442,22
binned_shuttlebox_slope,number_of_trials_in_a_row_correct_choice_first,r,0.03180162,0.888272156,22
binned_shuttlebox_slope,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.160750869,0.486370396,21
binned_shuttlebox_slope,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.49866586,0.02139155,21
binned_shuttlebox_wilcox_test,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.014921237,0.935399482,32
binned_shuttlebox_wilcox_test,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,-0.023030554,0.900433661,32
binned_shuttlebox_wilcox_test,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.151213854,0.408731387,32
binned_shuttlebox_wilcox_test,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.235285761,0.194868289,32
binned_shuttlebox_wilcox_test,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.029029798,0.874679956,32
binned_shuttlebox_wilcox_test,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,-0.023030554,0.900433661,32
binned_shuttlebox_wilcox_test,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.137301163,0.453645695,32
binned_shuttlebox_wilcox_test,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.235426839,0.194592955,32
binned_shuttlebox_wilcox_test,did_fish_solve_shuttlebox,ICC,0.578387425,0.01,32
binned_shuttlebox_wilcox_test,binned_did_fish_solve_shuttlebox,r,-0.511015548,0.002800566,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,0.092394686,0.615001733,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,0.14525262,0.42766014,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_slope,r,0.033304749,0.856403364,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_wilcox_test,r,0.531580679,0.001742579,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_slope,r,0.024353148,0.89474652,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_wilcox_test,r,0.531580679,0.001742579,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.135197163,0.460660175,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,-0.098245436,0.592687371,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.036519689,0.842706072,32
binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.244179758,0.178036702,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.141094672,0.441144412,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,-0.08515775,0.643075918,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.022693559,0.901883523,32
binned_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.245788877,0.175104801,32
binned_shuttlebox_wilcox_test,standard_length,r,-0.210529835,0.346996655,22
binned_shuttlebox_wilcox_test,order,ICC,-0.011736181,0.99,22
binned_shuttlebox_wilcox_test,average_number_of_entries,r,-0.019564139,0.93113622,22
binned_shuttlebox_wilcox_test,average_reaction_time,r,-0.342935837,0.118185515,22
binned_shuttlebox_wilcox_test,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,-0.033883117,0.884075001,21
binned_shuttlebox_wilcox_test,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,0.225702845,0.325244138,21
binned_shuttlebox_wilcox_test,total_number_of_testing_trials_using_full_4_minutes_data,r,0.142983793,0.525571354,22
binned_shuttlebox_wilcox_test,total_number_of_testing_trials_using_T30_to_T50_data,r,0.200945696,0.369880215,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,0.386136559,0.075897478,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,0.150525521,0.503724586,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,-0.0657582,0.771247082,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,0.340328687,0.121192392,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,0.122976293,0.585604229,22
binned_shuttlebox_wilcox_test,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,0.124787181,0.580051974,22
binned_shuttlebox_wilcox_test,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.011294625,0.961245696,21
binned_shuttlebox_wilcox_test,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,-0.047806531,0.836963285,21
binned_shuttlebox_wilcox_test,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,-0.053966114,0.8212264,20
binned_shuttlebox_wilcox_test,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,0.142334616,0.54943022,20
binned_shuttlebox_wilcox_test,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.100940315,0.663303222,21
binned_shuttlebox_wilcox_test,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,-0.063497966,0.790273998,20
binned_shuttlebox_wilcox_test,number_of_medians_above_60_using_full_4_minutes_data,ICC,-0.0088131,0.91,22
binned_shuttlebox_wilcox_test,number_of_medians_above_60_using_T30_to_T50_data,ICC,-0.023372064,0.86,22
binned_shuttlebox_wilcox_test,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,0.257955402,0.258916901,21
binned_shuttlebox_wilcox_test,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.034377957,0.882393228,21
binned_shuttlebox_wilcox_test,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.181545361,0.443666081,20
binned_shuttlebox_wilcox_test,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,-0.283672966,0.225500659,20
binned_shuttlebox_wilcox_test,learning_category_according_to_etheredge_T30_to_T50,ICC,0.012342412,0.93,21
binned_shuttlebox_wilcox_test,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.057366149,0.69,22
binned_shuttlebox_wilcox_test,average_latency_to_enter_correct_side,r,-0.254299639,0.265965572,21
binned_shuttlebox_wilcox_test,average_latency_to_enter_incorrect_side,r,-0.139855248,0.545420329,21
binned_shuttlebox_wilcox_test,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.321015171,0.15593494,21
binned_shuttlebox_wilcox_test,proportion_of_correct_first_choices,r,0.586045711,0.005241517,21
binned_shuttlebox_wilcox_test,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.073169842,0.74624244,22
binned_shuttlebox_wilcox_test,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.229056353,0.30518821,22
binned_shuttlebox_wilcox_test,number_of_trials_in_a_row_correct_choice_first,r,0.495882438,0.018923278,22
binned_shuttlebox_wilcox_test,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.032924052,0.887335856,21
binned_shuttlebox_wilcox_test,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.112156982,0.628365981,21
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,r,-0.024076085,0.905116692,27
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,time_to_barrier_contact_minus_start_time,r,-0.106849789,0.595793892,27
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,scorer,ICC,0.281246482,0.08,27
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_start_side,ICC,-0.070571871,0.69,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,-0.117006725,0.623235371,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,-0.143408473,0.546390451,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_slope,r,-0.017066486,0.943068266,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_wilcox_test,r,-0.038245647,0.872814549,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_slope,r,0.02278628,0.924033888,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_wilcox_test,r,-0.038245647,0.872814549,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.174980178,0.460593406,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,0.160137337,0.500046783,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.139668993,0.557008547,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.072565685,0.76110608,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.156333363,0.51041448,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.160137337,0.500046783,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.10493706,0.659723872,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.077771386,0.744497493,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,did_fish_solve_shuttlebox,ICC,-0.194066755,0.49,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,binned_did_fish_solve_shuttlebox,r,-0.150103398,0.527612931,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,-0.137641739,0.562802954,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,0.055307988,0.816852471,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_slope,r,0.220349053,0.35054907,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_wilcox_test,r,0.178358195,0.451842814,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_slope,r,0.224767929,0.340723525,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_wilcox_test,r,0.178358195,0.451842814,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.055006549,0.817834585,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,0.116008886,0.626221604,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.117543648,0.621630858,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.111647621,0.639338906,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.06379965,0.789299016,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.128952533,0.587934731,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.112856872,0.635691311,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.112940463,0.635439464,20
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,standard_length,r,-0.15594859,0.536618944,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,order,ICC,-0.225504789,0.33,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_number_of_entries,r,-0.367377039,0.133672403,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_reaction_time,r,0.183713678,0.465560522,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,-0.398780988,0.112834845,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,-0.281877829,0.273033132,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,total_number_of_testing_trials_using_full_4_minutes_data,r,-0.061866166,0.807335063,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,total_number_of_testing_trials_using_T30_to_T50_data,r,-0.381322765,0.118441827,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,0.130470805,0.6058431,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,0.118080661,0.640752663,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,-0.321051123,0.193932988,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,-0.521347302,0.026500312,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,-0.217739448,0.38542014,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,-0.263777802,0.290215228,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,-0.393812418,0.117808775,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,-0.010282215,0.968757916,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,0.183219148,0.497003149,16
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,-0.100708935,0.700544519,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.139974902,0.592081986,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,-0.486221271,0.056176832,16
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_medians_above_60_using_full_4_minutes_data,ICC,0.031199859,0.89,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_medians_above_60_using_T30_to_T50_data,ICC,-0.112555143,0.38,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,0.061586513,0.814357642,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,-0.047754391,0.855581444,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,-0.237949688,0.37484427,16
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.086741732,0.74940479,16
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,learning_category_according_to_etheredge_T30_to_T50,ICC,0.090334784,0.43,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,learning_category_according_to_etheredge_full_4_minutes,ICC,0.093003148,0.65,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_latency_to_enter_correct_side,r,0.433849352,0.081873216,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_latency_to_enter_incorrect_side,r,0.27678123,0.282168105,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,0.436936443,0.079480077,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,proportion_of_correct_first_choices,r,-0.410813262,0.101407149,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.07744183,0.760039355,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.075745364,0.765154711,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,number_of_trials_in_a_row_correct_choice_first,r,-0.3414966,0.165456741,18
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.212482211,0.412918863,17
detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,-0.240918322,0.351598738,17
detour_trial_1_date_of_trial,sex,tau,0.029,1,52
detour_trial_1_date_of_trial,detour_trial_1_time_of_trial,tau,0.174,0.27,52
detour_trial_1_date_of_trial,detour_trial_1_did_fish_solve_barrier_problem,tau,0.314,0.07,52
detour_trial_1_date_of_trial,detour_trial_1_did_fish_solve_full_social_problem,tau,0.241,0.21,52
detour_trial_1_date_of_trial,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,ICC,-0.251547111,0.42,21
detour_trial_1_date_of_trial,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,ICC,-0.035451229,0.86,27
detour_trial_1_date_of_trial,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,ICC,-0.036034991,0.92,43
detour_trial_1_date_of_trial,time_to_barrier_contact_minus_start_time,ICC,0.034067966,0.81,43
detour_trial_1_date_of_trial,scorer,tau,1,0.01,52
detour_trial_1_date_of_trial,shuttlebox_start_side,tau,NaN,NA,32
detour_trial_1_date_of_trial,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,ICC,0.06879327,0.58,32
detour_trial_1_date_of_trial,shuttlebox_average_distance_from_correct_stimulus_during_gaps,ICC,-0.016207269,0.93,32
detour_trial_1_date_of_trial,shuttlebox_slope,ICC,0.219768311,0.13,32
detour_trial_1_date_of_trial,shuttlebox_wilcox_test,ICC,-0.023632619,0.8,32
detour_trial_1_date_of_trial,binned_shuttlebox_slope,ICC,0.23244286,0.07,32
detour_trial_1_date_of_trial,binned_shuttlebox_wilcox_test,ICC,-0.023632619,0.87,32
detour_trial_1_date_of_trial,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.109179052,0.46,32
detour_trial_1_date_of_trial,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,ICC,0.17947268,0.23,32
detour_trial_1_date_of_trial,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,0.187750024,0.1,32
detour_trial_1_date_of_trial,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.246756673,0.08,32
